사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-05,경부선,1706,안양,287,4,"14,475","3,256","26,624","11,606","68,982","14,173","62,611","28,878","34,610","26,362","25,544","21,812","24,340","23,364","27,360","27,859","27,525","28,668","26,629","29,180","28,661","29,906","33,569","34,812","37,735","48,130","34,760","71,076","24,209","63,274","21,983","34,640","23,467","29,094","18,392","23,838","7,889","17,296",278,"2,952",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1707,명학,102,1,"5,789","2,754","8,814","9,184","21,647","18,242","19,413","46,577","10,354","11,343","7,810","7,271","7,284","6,205","8,450","6,861","8,731","7,098","8,166","6,868","8,866","6,495","11,702","8,530","20,854","10,708","33,491","16,630","11,505","14,978","9,381","8,906","7,375","8,508","4,394","7,568","1,615","5,514",68,853,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1708,금정,286,3,"21,329","7,312","30,008","21,169","70,148","36,644","72,132","73,135","42,866","26,741","28,504","19,010","26,859","19,479","28,449","21,640","27,486","23,257","25,313","24,635","27,037","27,929","31,972","36,288","51,129","48,188","64,491","73,876","31,276","64,820","23,968","39,545","21,297","37,942","16,478","32,740","7,543","23,112",517,"6,409",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1709,군포,64,2,"5,161","2,089","8,140","6,275","16,105","22,637","14,704","37,178","8,875","6,721","6,855","5,079","6,626","5,031","7,166","5,099","7,115","5,883","6,784","5,355","6,579","6,686","8,704","7,610","16,829","10,479","30,260","13,138","10,991","12,295","8,266","7,590","5,660","6,345","3,631","5,835","1,401","3,872",53,807,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1710,의왕,98,0,"5,803","1,955","11,020","7,809","26,434","21,515","25,015","21,745","11,879","8,128","9,425","6,156","9,202","6,192","9,065","6,534","9,244","7,699","8,634","7,118","9,240","8,928","11,569","10,648","21,290","14,380","20,512","24,458","10,604","19,396","7,554","13,303","6,381","11,358","3,938","10,288","1,692","6,368",112,"1,915",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1711,성균관대,106,3,"7,782","1,674","22,987","4,903","54,856","7,981","44,933","16,503","20,774","11,210","16,144","9,391","14,475","9,826","15,704","11,053","15,346","14,307","13,662","13,659","14,158","14,952","16,453","19,078","19,786","28,102","20,452","48,936","12,592","44,034","10,395","26,857","9,711","22,914","8,864","20,026","3,852","13,050",285,"3,379",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1712,화서,324,1,"6,481","2,155","16,929","5,164","32,586","4,163","24,149","8,304","11,313","5,524","8,817","4,842","8,044","5,252","8,091","5,319","7,983","6,514","6,961","6,639","7,119","7,595","9,493","9,156","10,131","15,008","9,209","26,517","5,453","22,947","4,169","13,493","3,742","11,749","3,050","10,297",928,"6,606",55,"1,715",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1713,수원,"2,048",35,"20,227","6,182","30,172","24,436","63,615","46,852","57,599","63,111","38,123","54,718","35,935","47,610","39,913","49,907","41,673","60,999","45,127","61,078","47,176","61,139","53,957","60,875","66,793","67,431","75,946","80,471","85,196","105,021","70,723","82,914","72,268","50,559","54,574","41,214","47,565","33,718","17,743","21,296",569,"6,695",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1714,독산,620,4,"6,476","2,996","14,258","12,687","33,675","30,550","32,056","82,759","18,257","38,170","14,269","14,575","13,345","10,785","15,556","11,914","14,907","11,976","13,998","12,148","15,658","13,345","21,490","16,125","41,643","21,054","62,282","34,527","29,146","29,528","16,193","17,062","12,729","17,409","8,543","14,415","2,557","9,411",51,543,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1715,세류,313,1,"3,072",607,"6,148","2,513","12,360","3,744","8,565","4,041","4,771","2,543","3,695","2,803","3,717","2,595","3,471","2,879","3,243","2,997","3,155","3,034","3,479","3,389","4,228","4,284","5,279","6,108","5,468","8,917","3,471","8,277","2,846","5,873","2,416","4,713","1,590","4,258",556,"2,553",8,841,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1716,병점,"2,547",20,"6,784","3,620","19,295","10,057","39,343","17,884","30,714","21,088","19,351","12,326","16,450","10,127","16,886","10,802","17,578","12,959","16,446","13,557","15,649","14,445","17,560","15,952","20,499","19,392","27,728","26,225","29,992","37,504","16,496","36,583","12,375","25,561","10,443","22,029","7,907","18,966","2,249","12,121",28,"6,978",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1717,세마,177,0,"1,752",670,"4,268","1,446","7,205","2,806","5,960","5,453","4,677","2,016","3,209","1,702","3,224","1,917","3,118","1,859","3,382","2,172","2,947","2,276","3,048","2,130","3,683","3,252","4,525","4,046","5,150","6,550","2,438","5,905","1,698","4,256","1,757","3,772",926,"3,142",377,"2,029",16,160,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1718,오산대,132,2,"2,038",607,"4,807","1,848","7,835","3,159","5,626","6,284","4,085","2,782","3,454","3,090","3,387","3,482","3,604","3,118","3,817","3,620","4,134","3,224","4,655","2,677","5,886","3,775","6,226","4,908","6,883","7,892","3,355","6,511","2,804","3,931","2,578","4,239","1,685","3,163",899,"2,123",59,148,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1719,오산,190,3,"5,490","1,533","11,432","7,230","17,446","19,671","16,450","15,749","13,140","11,222","12,495","9,077","12,393","8,738","14,388","11,374","12,984","10,999","13,131","11,586","13,599","13,530","15,990","15,612","21,558","18,353","22,872","23,973","13,382","19,994","11,419","15,610","8,186","13,371","5,561","9,692","1,851","5,933",79,486,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1720,진위,1,0,691,268,"1,167","2,024","2,245","5,802","2,064","5,832","1,545","1,160","1,253","1,053","1,421","1,069","1,472",726,"1,469","1,136","1,299",999,"1,673",999,"2,411","1,437","4,833","1,641","7,322","1,905","2,679","1,901","1,612","1,199","1,083","1,382",548,"1,363",158,725,10,76,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1721,송탄,48,2,"5,304",721,"6,159","2,754","10,277","4,531","7,743","6,694","6,290","3,490","6,116","3,426","6,173","3,846","6,354","4,280","6,785","4,435","5,622","4,851","6,200","5,498","7,327","6,831","7,580","9,106","8,431","9,299","5,085","9,764","3,956","7,604","3,065","6,970","1,891","6,882",711,"3,984",58,577,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1722,서정리,31,1,"2,596","5,641","6,832","6,031","9,349","8,545","8,843","15,219","6,987","8,173","7,240","6,164","7,774","5,965","9,332","7,665","8,692","7,437","8,719","6,543","10,727","6,787","13,835","9,417","18,772","11,253","16,543","11,897","9,201","11,533","6,746","9,676","4,346","8,698","2,481","6,708",943,"4,986",14,759,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1723,지제,3,0,775,"1,495","2,143","4,847","4,978","6,844","3,838","4,701","2,475","2,376","2,301","1,640","2,227","2,053","3,407","2,082","2,269","2,392","2,689","1,829","3,886","2,944","4,519","2,962","7,699","2,917","7,024","5,127","4,463","3,439","2,846","2,532","3,152","2,582","2,131","2,364",699,"1,573",0,79,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1724,평택,124,2,"6,361","2,749","12,251","7,408","20,718","13,234","18,997","18,287","16,883","15,615","16,177","13,508","15,702","17,423","16,745","16,711","17,222","19,497","17,875","18,459","18,708","20,042","22,586","21,947","26,069","26,491","26,171","29,251","18,273","22,332","19,054","17,850","13,188","15,335","9,604","11,793","4,627","7,428",17,"1,014",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1725,성환,34,0,"1,739",761,"2,620","1,777","5,028","7,918","5,255","9,242","4,537","4,899","4,921","4,510","5,402","4,123","5,767","5,615","6,718","5,146","5,868","4,836","6,091","4,588","7,373","4,803","10,309","6,543","9,380","6,497","4,521","5,290","4,063","5,168","2,460","4,385","1,386","3,499",647,"3,157",45,490,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1726,직산,70,1,495,388,"1,177",748,"1,562","1,832",921,"2,571","1,090",923,988,847,967,836,"1,045",970,999,"1,078","1,027",734,"1,149",877,"1,212","1,127","2,088","1,303","2,407","1,536","1,036","1,176",710,904,551,886,337,660,167,669,21,149,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1727,두정,921,2,"3,571",640,"6,638","2,277","10,403","5,357","8,380","6,424","6,434","5,898","6,053","3,898","5,888","5,497","5,979","6,283","6,476","6,887","6,546","6,415","6,802","6,449","8,004","7,108","9,477","9,552","9,411","13,132","6,125","9,713","5,096","9,376","4,198","7,552","3,465","6,078","1,746","5,011",25,"1,417",0,1,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1728,천안,"1,755",6,"2,429",462,"4,388","3,010","8,187","4,622","7,240","7,795","8,178","8,978","7,997","8,974","9,082","10,104","8,171","9,686","9,440","11,070","10,275","9,356","10,931","11,010","11,640","10,982","11,528","10,644","11,196","12,860","8,886","9,536","6,903","6,987","5,508","5,046","3,324","4,371","1,499","2,652",4,"1,976",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1729,당정,17,0,"3,099","1,013","8,980","2,839","21,324","6,681","18,842","14,445","10,067","4,507","7,311","4,030","7,015","3,950","6,982","4,200","7,054","4,969","6,340","4,861","6,263","6,119","7,250","7,292","10,119","10,363","13,667","16,612","5,929","16,815","4,516","10,750","3,432","9,242","2,893","8,981","1,185","5,890",109,"1,757",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1749,서동탄,0,0,"1,127",11,"4,004",584,"9,307","1,581","3,903","1,570","1,941",827,"1,820",933,"1,689",929,"1,542","1,273","1,560","1,200","1,493","1,349","1,802","1,708","1,706","1,903","1,958","2,926","2,490","3,837","1,331","5,513",896,"2,738",729,"1,940",603,"2,148",95,"1,655",6,"1,075",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경부선,1750,광명,0,0,14,"2,042","2,389","2,280","11,480","3,211","8,232","2,870","4,910","2,719","1,736","2,129","3,739","1,564","4,313","2,327","3,155","2,234","2,972","3,828","3,434","2,950","7,987","4,003","3,001","4,430","6,123","9,189","6,552","6,454","1,664","3,736","4,486","2,398","1,719","3,805",446,328,1,0,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1801,개봉,"1,300",18,"16,691","6,016","32,773","11,956","77,910","13,760","75,942","23,292","45,048","17,561","30,788","14,675","27,246","17,294","29,809","20,002","27,930","20,703","24,351","23,792","23,549","28,315","26,442","35,237","28,560","53,267","28,948","82,351","18,062","65,513","13,855","39,318","12,285","35,365","8,725","30,212","3,836","18,625",144,"2,992",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1802,오류동,590,4,"11,253","1,942","16,211","5,698","42,880","5,680","44,218","10,263","24,175","9,551","17,010","9,927","14,737","9,005","17,655","10,166","16,086","11,571","13,875","12,488","12,972","15,690","14,561","16,940","14,946","23,775","14,652","40,284","8,846","34,202","7,042","21,053","5,926","20,028","4,787","16,482","1,882","9,787",135,"2,705",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1803,역곡,754,6,"25,105","3,457","39,744","10,301","106,380","12,018","103,587","25,257","54,958","20,230","35,929","19,864","32,468","22,732","33,936","26,791","32,998","26,338","28,871","29,495","28,129","31,620","33,349","43,054","33,107","58,802","32,822","103,869","21,285","87,211","18,098","52,096","16,148","46,410","13,885","41,445","6,028","25,632",507,"5,087",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1804,부천,"2,451",16,"32,079","4,899","39,172","12,758","93,157","17,815","97,007","39,920","55,091","37,236","40,465","33,925","40,923","36,307","44,550","41,624","45,054","46,547","43,267","47,506","44,902","49,023","48,323","57,732","52,108","75,356","56,149","111,021","39,026","101,354","33,151","56,288","33,576","50,364","28,871","40,186","13,079","28,406","1,434","6,173",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1805,송내,"1,386",9,"14,660","7,977","34,582","15,501","96,658","28,494","83,108","71,826","43,521","37,840","31,075","23,457","30,159","20,758","35,416","22,456","31,019","25,325","28,404","25,183","29,514","27,018","33,137","34,638","42,910","49,702","68,454","82,593","31,212","80,704","23,976","44,361","19,755","38,757","16,713","34,852","7,574","22,729","1,110","4,563",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1806,부평,"6,905",58,"21,197","5,030","31,975","10,958","74,493","17,464","70,629","29,751","39,942","36,532","34,525","31,270","34,367","36,161","37,976","43,224","39,539","49,454","40,047","51,493","42,963","54,573","48,730","59,250","54,400","71,610","52,042","112,576","40,839","91,653","38,871","53,678","39,023","44,255","34,545","36,273","17,567","24,680","3,148","7,614",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1807,백운,98,2,"6,954","1,781","12,388","2,835","24,957","4,398","23,335","9,343","13,324","6,460","10,947","5,398","10,317","6,312","10,228","7,287","9,211","7,383","8,542","8,221","8,340","9,332","8,789","11,493","9,606","14,607","9,904","21,827","5,073","21,108","4,258","13,142","3,538","11,547","2,356","9,813","1,423","7,583",146,"1,979",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1808,동암,505,4,"19,471","4,738","26,730","9,655","49,395","12,689","47,202","15,784","28,243","12,394","21,677","12,493","20,208","14,607","21,167","15,547","20,815","16,203","18,863","17,677","17,856","21,010","20,542","24,466","22,806","35,094","22,455","48,882","15,277","45,941","12,049","30,411","10,533","27,721","7,953","22,953","4,126","16,563",409,"4,151",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1809,주안,842,7,"13,589","3,798","23,292","8,488","56,540","16,023","47,923","24,938","30,635","20,012","23,659","14,324","24,565","14,522","26,830","18,315","26,185","17,166","24,447","20,111","24,726","20,761","27,113","25,039","32,735","35,045","35,323","50,675","21,419","52,557","18,184","32,159","16,496","28,211","13,980","23,431","6,606","17,698",688,"5,629",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1810,제물포,765,1,"6,356","1,689","12,044","5,521","31,347","10,541","27,227","19,595","15,799","12,007","12,439","7,904","12,575","7,286","13,601","9,258","13,201","10,646","11,904","9,663","12,528","10,168","15,708","13,009","17,759","17,122","20,646","24,551","9,489","22,890","6,977","15,157","5,129","14,646","3,660","11,734","1,937","9,494",114,"3,144",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1811,동인천,"1,621",2,"7,111","2,900","14,464","10,385","35,377","18,784","28,036","28,349","19,350","14,471","16,587","15,886","18,587","17,899","19,655","17,772","20,672","20,124","20,536","18,074","22,273","17,989","25,408","20,961","30,627","22,668","34,897","30,104","18,414","32,005","13,747","18,772","10,219","14,988","6,904","14,707","2,612","10,718",9,"3,786",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1812,인천,286,9,"1,254",901,"2,211","2,785","4,598","4,196","4,063","5,983","2,827","3,217","2,713","4,394","3,626","7,342","4,935","7,171","6,239","7,055","7,183","6,575","8,261","5,349","8,787","4,405","10,734","3,748","9,667","3,183","5,126","2,295","4,411","1,824","3,066","1,460","1,506","1,272",545,902,11,888,0,7,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1813,구일,276,25,"3,362","1,530","8,694","3,316","23,605","5,610","21,563","9,595","10,997","5,453","8,036","3,991","6,965","4,293","7,720","5,151","7,583","6,362","6,798","6,692","7,515","7,566","8,447","9,022","9,019","12,928","10,378","23,972","5,385","19,553","4,001","10,967","3,522","9,636","3,103","8,221","1,215","5,142",44,986,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1814,소사,"1,050",36,"15,078","2,983","15,039","5,699","30,764","6,742","30,079","11,203","19,048","8,796","15,050","9,235","13,175","9,962","13,865","10,923","13,331","11,031","11,992","11,441","12,022","11,876","12,158","14,663","14,101","20,057","13,657","28,106","8,007","24,263","6,132","15,080","5,098","15,222","3,688","13,278","1,615","8,293",189,"2,733",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1815,부개,"1,776",55,"8,358","2,623","14,207","3,660","32,672","4,652","27,563","9,138","15,617","5,970","11,738","5,559","11,129","6,337","11,039","7,451","10,389","8,383","9,392","8,811","8,801","10,253","10,215","13,197","10,430","15,314","10,263","26,927","6,501","23,118","4,846","14,592","3,824","13,135","3,036","11,085","1,578","7,889",283,"2,385",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1816,간석,358,11,"5,062","1,264","10,264","1,990","21,094","3,185","17,206","6,614","10,319","4,767","7,901","4,062","7,454","4,996","7,429","5,461","7,224","5,900","6,638","6,137","6,883","7,004","7,063","8,965","7,549","11,179","7,713","16,397","4,723","16,982","3,895","10,246","3,568","8,853","2,907","7,395","1,488","5,556",168,"1,981",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1817,도원,573,9,"2,304",915,"2,990","1,789","5,515","3,065","5,486","11,761","4,561","3,830","4,245","3,948","4,782","3,610","5,231","3,754","4,606","4,107","4,416","4,297","4,963","4,464","6,654","4,670","5,550","5,145","6,716","5,536","2,823","5,135","2,058","3,278","1,799","3,176",980,"2,538",360,"1,972",23,"1,156",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1821,온수(성공회대입구),185,2,"5,272","1,340","7,914","3,244","19,142","6,425","18,838","9,975","11,410","5,027","9,118","5,258","8,573","5,055","9,089","6,282","8,907","6,711","8,216","7,051","8,237","7,985","9,704","9,892","10,025","12,529","10,113","20,267","5,222","17,015","4,106","10,537","3,831","9,365","2,856","8,151","1,507","5,254",172,"1,345",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1822,중동,799,5,"9,585","1,552","15,061","4,656","36,862","5,354","30,067","11,001","16,344","7,903","11,541","7,134","11,598","7,091","11,799","8,208","11,448","8,778","10,210","9,598","9,758","10,674","10,788","12,951","11,408","17,626","12,146","27,458","6,623","26,779","5,601","15,346","4,622","13,108","3,318","11,951","1,327","8,454",206,"2,348",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경인선,1823,도화,324,3,"3,522",971,"5,803","2,793","12,533","3,022","10,303","4,975","6,757","3,018","5,424","2,959","5,135","2,997","5,078","3,731","5,050","3,883","4,609","4,416","4,581","4,586","5,265","5,688","5,870","5,957","5,565","8,826","2,834","8,002","2,093","5,282","1,548","4,894","1,028","3,777",669,"3,041",26,"1,626",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1008,이촌(국립중앙박물관),49,3,"1,078",533,"3,247","1,898","6,343","3,854","8,055","7,189","6,020","4,564","4,803","3,172","4,539","2,793","5,078","2,948","5,406","3,625","5,075","3,592","5,841","4,035","6,951","4,317","9,163","5,242","8,875","7,361","5,360","5,915","4,377","3,966","4,167","3,227","2,907","3,394",988,"2,214",56,725,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1009,서빙고,40,0,805,520,"1,709","2,586","2,332","3,586","2,714","6,288","2,491","2,622","2,023","1,623","1,985","1,514","2,307","1,453","2,209","1,942","2,280","1,522","2,711","2,208","3,569","2,202","5,549","2,217","5,529","3,073","2,695","2,495","1,750","1,523","1,382","1,351",929,"1,315",319,852,31,247,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1010,한남,164,0,"1,938",435,"2,430","4,383","4,177","9,233","5,677","12,019","4,656","9,688","4,524","4,922","4,455","3,989","4,474","4,426","4,435","4,891","5,140","3,752","6,281","4,842","7,443","4,812","11,324","5,971","13,981","7,579","7,167","5,207","5,032","3,294","4,661","3,462","3,792","2,265","1,507","1,519",67,598,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1011,옥수,0,0,0,4,1,70,35,27,35,238,43,13,25,131,10,137,5,66,26,21,21,33,27,29,324,11,315,29,22,24,369,14,24,11,27,11,27,6,26,0,0,0,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1012,응봉,120,1,"1,083",264,"2,447","1,050","5,864","1,522","6,388","2,189","3,785","1,296","2,714","1,190","2,443","1,368","2,576","1,591","2,436","1,864","2,159","2,309","2,227","2,356","2,650","2,910","2,622","3,466","2,869","4,665","1,563","4,815","1,351","2,516","1,120","2,022",799,"1,914",308,"1,168",28,420,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1013,왕십리(성동구청),663,1,"5,460",832,"7,864","4,619","22,141","9,487","35,593","18,363","22,937","13,495","13,455","13,383","12,973","15,859","14,940","18,215","16,795","20,737","17,179","20,805","18,924","22,522","21,431","27,683","25,301","36,373","26,266","58,724","20,985","46,238","20,202","26,212","22,603","20,381","22,213","20,200","10,661","11,100",448,"5,458",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1014,청량리(서울시립대입구),"1,000",2,"6,452","1,094","7,227","9,709","24,970","11,401","26,747","16,790","23,895","25,788","23,185","25,851","18,605","28,994","24,071","25,071","25,045","24,852","27,113","29,623","29,269","29,597","27,750","29,536","28,858","30,292","26,375","41,318","24,588","33,469","24,493","18,022","9,838","14,560","9,391","12,683","3,473","7,507",94,"2,793",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1016,외대앞,531,7,"4,671","1,210","7,214","3,233","15,715","3,365","19,796","10,037","13,346","8,768","10,333","6,755","10,456","7,440","11,480","8,694","11,559","9,276","11,444","10,267","11,819","11,284","12,766","12,546","13,925","15,324","11,883","20,853","8,037","18,246","6,324","11,895","6,296","11,398","5,178","10,259","2,637","8,118",105,"1,280",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1017,신이문,"1,328",19,"8,154","1,317","12,922","2,490","32,623","4,215","36,029","7,487","20,571","4,575","14,362","5,453","12,141","6,641","12,282","7,341","11,853","8,474","10,333","9,234","9,628","12,442","8,927","14,385","9,212","18,587","8,979","28,404","6,500","24,135","3,975","15,621","3,163","12,819","2,326","11,988",985,"8,040",55,"1,181",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1018,석계,"1,200",3,"6,127","1,918","11,067","4,245","23,050","4,873","28,158","8,816","19,144","6,333","14,651","6,518","13,112","8,432","13,000","9,533","12,698","10,645","11,750","12,010","11,271","15,519","10,757","18,488","12,128","23,611","10,979","36,642","8,337","28,865","6,706","19,005","6,409","16,421","5,359","13,393","2,455","8,877",150,"1,581",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1019,광운대,"2,208",17,"5,945","1,309","11,928","3,005","29,235","4,712","27,761","10,306","15,152","7,462","11,250","6,801","10,002","7,680","11,094","8,114","10,906","9,165","10,232","10,244","10,194","10,631","10,528","13,102","11,933","15,537","10,266","23,494","6,570","21,369","5,378","13,572","4,827","11,202","4,322","10,518","2,001","9,418",183,"3,469",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1020,월계,606,3,"5,664","1,150","7,680","2,187","19,407","4,937","18,831","7,387","12,544","4,415","10,403","4,580","8,846","5,281","9,318","6,255","8,739","6,889","8,244","6,669","8,023","8,859","8,444","10,564","7,670","11,910","8,086","17,522","5,035","15,253","3,683","9,451","2,956","7,978","2,256","7,585",811,"4,921",60,"1,275",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1021,녹천,833,7,"4,279",608,"6,903","1,491","18,449","2,614","16,129","4,578","10,226","2,263","7,475","2,982","6,434","3,217","7,038","3,930","6,121","4,014","5,196","4,109","5,342","5,714","5,696","7,026","5,604","8,263","4,867","12,489","3,378","11,943","2,155","7,584","1,997","6,378","1,285","5,536",463,"3,999",68,951,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1022,창동,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1901,방학,600,15,"11,096","1,600","13,422","5,328","26,349","7,215","26,371","17,179","18,480","10,400","15,056","10,243","13,700","9,392","14,810","11,058","13,687","10,888","12,842","12,564","12,615","16,017","13,291","17,445","13,967","19,985","16,475","25,805","9,765","24,535","6,947","14,420","5,521","12,112","4,447","9,695","1,601","7,256",129,"1,823",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1902,도봉,223,7,"6,840","1,190","8,587","2,960","17,024","3,569","16,934","9,056","11,838","7,133","10,242","7,686","9,373","6,065","8,408","7,089","8,944","7,085","8,767","8,332","8,880","9,933","8,436","10,494","9,117","11,727","9,741","15,329","5,028","13,738","3,319","8,660","2,645","7,287","1,858","5,799",767,"3,818",104,"1,658",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1903,도봉산,131,1,"6,039",942,"8,476","2,363","20,273","4,172","19,868","7,372","13,026","12,368","11,060","18,466","11,102","14,499","13,386","14,749","16,448","11,972","19,001","10,979","22,225","10,107","23,396","8,845","20,329","8,380","16,018","9,857","10,463","7,933","6,528","5,210","4,284","4,489","2,612","4,120",821,"2,912",92,"1,526",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1904,망월사,417,8,"6,499","1,097","11,060","3,262","21,270","3,756","22,032","9,967","14,359","10,178","11,490","8,028","11,007","6,648","11,259","9,379","10,691","8,800","10,010","9,132","9,919","11,426","10,788","12,959","11,196","15,812","10,331","21,534","5,714","20,393","4,339","12,988","3,792","10,774","2,969","9,445","1,109","5,900",137,"2,342",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1905,회룡,989,32,"12,603","2,148","23,051","5,370","49,227","6,925","40,494","10,514","25,934","10,220","20,226","10,101","18,205","10,851","18,119","13,770","17,061","13,793","14,643","14,670","14,000","17,880","13,966","21,957","13,481","27,974","12,121","38,506","8,125","38,095","6,313","22,407","5,651","19,682","4,255","15,384","1,580","10,466",121,"3,641",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1906,의정부,"2,404",5,"9,738","2,404","18,600","8,136","40,192","13,502","37,362","30,840","24,225","31,297","20,801","25,393","22,423","25,954","25,628","28,783","26,649","31,986","27,621","31,297","30,781","31,771","33,309","33,496","37,123","37,357","39,452","49,190","26,772","45,406","27,313","27,369","19,056","25,569","17,007","17,418","6,172","13,837",406,"5,753",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,경원선,1907,가능,512,6,"7,565","2,082","10,628","3,947","21,179","4,638","19,410","12,097","13,169","7,505","10,050","5,630","9,292","5,632","9,405","6,669","8,916","7,329","7,745","6,423","7,587","8,159","7,997","10,344","9,788","12,172","8,815","18,349","5,991","17,496","4,557","10,208","3,628","9,372","3,190","7,372","1,255","6,374",103,"1,223",0,0,0,0,0,0,2020-06-03 11:49:09
